# LF_DEM version v2.0-636-g20f1877-dirty
# np 200
# VF 0.45
# Lx 13.9626
# Ly 13.9626
# Lz 13.9626
# data in repulsion units.
#1: time
#2: shear strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: contact stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: repulsive stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: brownian stress tensor (xx, xy, xz, yz, yy, zz)

0.00025 5e-05 0.2 -0.0737717 -0.0153073 0.925999 -0.0177562 -0.0360391 -0.059217  -0.0623226 -0.0160021 0.924732 -0.0167401 -0.0237982 -0.0464341  0 0 0 0 0 0  -0.0114491 0.000694826 0.00126776 -0.00101608 -0.0122409 -0.0127829  0 0 0 0 0 0  
0.00525 0.00105 0.2 -0.0750771 -0.015264 0.926153 -0.0177013 -0.0369174 -0.060728  -0.0636104 -0.0159646 0.924773 -0.016684 -0.0246601 -0.0479244  0 0 0 0 0 0  -0.0114667 0.000700631 0.00138029 -0.00101731 -0.0122573 -0.0128036  0 0 0 0 0 0  
0.01025 0.00205 0.2 -0.0798022 -0.0144015 0.930248 -0.0184358 -0.0385541 -0.0678759  -0.068287 -0.0151158 0.928722 -0.0174116 -0.0262696 -0.0549999  0 0 0 0 0 0  -0.0115152 0.000714284 0.00152632 -0.00102424 -0.0122846 -0.0128761  0 0 0 0 0 0  
0.01525 0.00305 0.2 -0.0811328 -0.014351 0.930437 -0.0183895 -0.0394455 -0.0694324  -0.0695934 -0.0150716 0.928797 -0.0173637 -0.0271396 -0.056527  0 0 0 0 0 0  -0.0115395 0.000720546 0.00163981 -0.00102586 -0.0123059 -0.0129055  0 0 0 0 0 0  
0.02025 0.00405 0.2 -0.0824647 -0.014301 0.93063 -0.018344 -0.0403381 -0.0709898  -0.0708984 -0.0150279 0.928877 -0.0173165 -0.0280089 -0.0580517  0 0 0 0 0 0  -0.0115664 0.000726874 0.00175318 -0.00102755 -0.0123292 -0.0129382  0 0 0 0 0 0  
0.02525 0.00505 0.2 -0.083798 -0.0142515 0.930826 -0.0182993 -0.041232 -0.0725481  -0.072202 -0.0149848 0.92896 -0.01727 -0.0288776 -0.059574  0 0 0 0 0 0  -0.0115959 0.000733269 0.00186645 -0.0010293 -0.0123544 -0.0129741  0 0 0 0 0 0  
0.03025 0.00605 0.2 -0.0851325 -0.0142025 0.931027 -0.0182552 -0.0421271 -0.0741073  -0.0735044 -0.0149422 0.929047 -0.0172241 -0.0297456 -0.061094  0 0 0 0 0 0  -0.011628 0.000739728 0.00197964 -0.00103111 -0.0123815 -0.0130133  0 0 0 0 0 0  
0.03525 0.00705 0.2 -0.0864682 -0.0141539 0.931231 -0.018212 -0.0430236 -0.0756674  -0.0748055 -0.0149001 0.929138 -0.017179 -0.030613 -0.0626117  0 0 0 0 0 0  -0.0116628 0.00074625 0.00209279 -0.00103299 -0.0124106 -0.0130556  0 0 0 0 0 0  
0.04025 0.00805 0.2 -0.0878053 -0.0141057 0.931439 -0.0181695 -0.0439213 -0.0772284  -0.0761052 -0.0148585 0.929233 -0.0171345 -0.0314797 -0.0641272  0 0 0 0 0 0  -0.0117 0.000752836 0.00220592 -0.00103494 -0.0124416 -0.0131012  0 0 0 0 0 0  
0.04525 0.00905 0.2 -0.0891435 -0.014058 0.931651 -0.0181277 -0.0448203 -0.0787903  -0.0774037 -0.0148175 0.929332 -0.0170907 -0.0323459 -0.0656403  0 0 0 0 0 0  -0.0117399 0.000759483 0.00231906 -0.00103696 -0.0124744 -0.01315  0 0 0 0 0 0  
0.05025 0.01005 0.2 -0.0966118 -0.0140143 0.929678 -0.0157787 -0.0475444 -0.083588  -0.0848519 -0.0147773 0.927235 -0.0147359 -0.0350382 -0.0703933  0 0 0 0 0 0  -0.0117599 0.000762958 0.00244324 -0.00104285 -0.0125062 -0.0131947  0 0 0 0 0 0  
